Video,Prediction,REAL_prob,FAKE_prob
000_003.mp4,FAKE,0.0402,0.9598
001_870.mp4,SUSPICIOUS,0.2835,0.7165
002_006.mp4,TIMEOUT,,
003_000.mp4,REAL,0.8642,0.1358
004_982.mp4,REAL,0.9346,0.0654
005_010.mp4,REAL,0.815,0.185
006_002.mp4,REAL,0.9205,0.0795
007_132.mp4,REAL,0.9099,0.0901
008_990.mp4,REAL,0.8947,0.1053
009_027.mp4,FAKE,0.0431,0.9569
010_005.mp4,REAL,0.9198,0.0802
011_805.mp4,SUSPICIOUS,0.1141,0.8859
012_026.mp4,SUSPICIOUS,0.6355,0.3645
013_883.mp4,REAL,0.8949,0.1051
014_790.mp4,REAL,0.8488,0.1512
015_919.mp4,FAKE,0.0508,0.9492
016_209.mp4,REAL,0.947,0.053
017_803.mp4,FAKE,0.0449,0.9551
018_019.mp4,FAKE,0.0401,0.9599
019_018.mp4,FAKE,0.0452,0.9548
020_344.mp4,FAKE,0.0854,0.9146
021_312.mp4,FAKE,0.0483,0.9517
022_489.mp4,FAKE,0.0609,0.9391
