Video,Prediction,REAL_prob,FAKE_prob,FFT_score,Lip_score
000 (1).mp4,REAL,0.8812,0.1188,0.3579,0.0
000.mp4,REAL,0.8812,0.1188,0.3579,0.0
001.mp4,REAL,0.9563,0.0437,0.34,0.0
002.mp4,REAL,0.9405,0.0595,0.4723,0.0
003.mp4,FAKE,0.0377,0.9623,0.3213,0.0
004.mp4,REAL,0.9253,0.0747,0.3809,0.0
005.mp4,FAKE,0.0404,0.9596,0.3295,0.0
006.mp4,FAKE,0.056,0.944,0.4029,0.3182
008.mp4,UNKNOWN,,,,
009.mp4,FAKE,0.0385,0.9615,0.3799,0.2089
010.mp4,REAL,0.9477,0.0523,0.3643,0.0
011.mp4,UNKNOWN,,,,
012.mp4,FAKE,0.056,0.944,0.2841,0.0
013.mp4,REAL (WEAK),0.6274,0.3726,0.4148,0.1779
014.mp4,REAL (WEAK),0.5839,0.4161,0.5677,0.0
015.mp4,REAL (WEAK),0.7146,0.2854,0.3055,0.2752
016.mp4,UNKNOWN,,,,
017.mp4,REAL,0.9434,0.0566,0.4814,0.0
018.mp4,FAKE,0.0496,0.9504,0.3704,0.3333
019.mp4,FAKE,0.0338,0.9662,0.3586,0.0806
020.mp4,REAL,0.8656,0.1344,0.4354,0.0
021.mp4,UNKNOWN,,,,
022.mp4,REAL (WEAK),0.5119,0.4881,0.3295,0.0158
023.mp4,SUSPICIOUS,0.4629,0.5371,0.2983,0.0
024.mp4,REAL,0.9528,0.0472,0.4684,0.0
025.mp4,FAKE,0.037,0.963,0.2903,0.2857
026.mp4,REAL,0.9588,0.0412,0.3341,0.1164
027.mp4,FAKE,0.0457,0.9543,0.4389,0.0
028.mp4,REAL,0.9075,0.0925,0.3132,0.0
029.mp4,FAKE,0.043,0.957,0.3099,0.4121
030.mp4,FAKE,0.038,0.962,0.5301,0.0
