Video,Prediction,REAL_prob,FAKE_prob
000 (1).mp4,SUSPICIOUS,0.815,0.185
000.mp4,SUSPICIOUS,0.815,0.185
001.mp4,SUSPICIOUS,0.2649,0.7351
002.mp4,REAL,0.9549,0.0451
003.mp4,FAKE,0.0352,0.9648
004.mp4,REAL,0.9462,0.0538
005.mp4,REAL,0.923,0.077
006.mp4,FAKE,0.0438,0.9562
008.mp4,FAKE,0.0539,0.9461
009.mp4,SUSPICIOUS,0.4086,0.5914
010.mp4,REAL,0.9229,0.0771
011.mp4,FAKE,0.0922,0.9078
012.mp4,REAL,0.9507,0.0493
013.mp4,REAL,0.9357,0.0643
014.mp4,SUSPICIOUS,0.613,0.387
015.mp4,SUSPICIOUS,0.887,0.113
016.mp4,SUSPICIOUS,0.6275,0.3725
017.mp4,SUSPICIOUS,0.7781,0.2219
018.mp4,FAKE,0.0541,0.9459
019.mp4,FAKE,0.0349,0.9651
020.mp4,REAL,0.9042,0.0958
021.mp4,REAL,0.9393,0.0607
022.mp4,FAKE,0.1759,0.8241
023.mp4,SUSPICIOUS,0.7463,0.2537
024.mp4,REAL,0.9516,0.0484
025.mp4,TIMEOUT,,
026.mp4,REAL,0.9569,0.0431
027.mp4,FAKE,0.0385,0.9615
028.mp4,REAL,0.94,0.06
029.mp4,FAKE,0.035,0.965
030.mp4,TIMEOUT,,
